"ccn","ssn"
"3608-1721-4236-1828","166-81-1871"
"3608-1395-4318-1038","224-83-1957"
"3608-2751-4657-1637","224-32-1805"
"3608-1333-4318-1188","381-60-1500"
"3608-2596-4005-1856","279-93-1057"
"3608-2181-5890-1837","381-83-1405"
"3608-1333-5015-1121","279-30-1635"
"3608-2800-5459-1804","287-31-1979"
"3608-1192-5132-1361","301-93-1341"
"3608-1721-4951-1300","166-34-1237"
"3608-1192-4354-1646","177-44-1156"
"3608-2507-4344-1351","320-85-1145"
"3608-2800-5983-1055","279-81-1163"
"3608-1192-4038-1828","287-99-1615"
"3608-2507-5030-1614","116-51-1235"
"3608-2181-5634-1745","144-93-1688"
"3608-1721-4951-1617","144-93-1216"
"3608-1721-5750-1589","279-46-1217"
"3608-1395-5459-1394","279-25-1854"
"3608-2067-5750-1838","391-85-1338"
"3608-1721-4329-1394","238-51-1772"
"3608-1192-4580-1198","238-18-1006"
"3608-2181-4580-1185","391-82-1012"
"3608-1333-5038-1617","339-30-1359"
"3608-2800-5766-1274","408-74-1051"
"3608-2067-5407-1064","116-55-1655"
"3608-2751-5458-1216","224-44-1723"
"3608-1333-4158-1916","320-81-1399"
"3608-2800-4160-1109","224-32-1858"
"3608-2968-5988-1936","391-51-1341"
"3608-1721-5724-1518","224-30-1345"
"3608-2751-4236-1474","425-32-1378"
"3608-2800-4994-1821","323-82-1507"
"3608-1333-4445-1442","216-82-1378"
"3608-1782-5750-1428","144-31-1393"
"3608-1682-4523-1551","368-85-1924"
"3608-2968-5696-1014","301-18-1620"
"3608-1721-5152-1383","381-93-1043"
"3608-2751-4354-1931","177-54-1882"
"3608-1333-5551-1217","238-85-1285"
"3608-1395-4458-1217","323-51-1291"
"3608-1333-4523-1718","279-85-1543"
"3608-1395-4342-1603","177-18-1822"
"3608-2968-5756-1032","368-99-1530"
"3608-2181-4994-1355","279-34-1496"
"3608-2588-4342-1631","301-81-1262"
"3608-1192-4342-1613","339-81-1922"
"3608-2800-5638-1892","429-83-1759"
"3608-1721-4856-1597","279-32-1331"
"3608-2596-5988-1037","116-44-1492"
"3608-2181-5333-1052","287-54-1492"
"3608-1782-5470-1068","138-51-1285"
"3608-2751-4318-1130","238-54-1549"
"3608-2507-5038-1322","320-31-1979"
"3608-2067-5632-1189","368-34-1858"
"3608-2067-4523-1968","429-25-1054"
"3608-1333-5890-1255","279-99-1941"
"3608-1395-5394-1631","279-74-1479"
"3608-2968-4236-1916","216-55-1101"
"3608-1192-4160-1055","279-23-1958"
"3608-1395-5551-1682","391-99-1535"
"3608-2968-5015-1134","425-85-1703"
"3608-2181-5634-1255","429-55-1851"
"3608-1395-5890-1935","144-51-1809"
"3608-1721-5489-1055","224-55-1263"
"3608-2507-4445-1394","116-93-1285"
"3608-1782-4342-1244","177-54-1605"
"3608-2181-5132-1745","425-46-1676"
"3608-2968-5470-1217","166-46-1050"
"3608-1682-4523-1617","224-60-1512"
"3608-2800-5132-1631","224-23-1479"
"3608-2588-4236-1844","287-18-1723"
"3608-1682-5884-1558","116-93-1985"
"3608-2588-5551-1968","368-99-1605"
"3608-2596-5884-1189","116-46-1313"
"3608-1333-5196-1693","224-93-1020"
"3608-2507-4445-1130","279-82-1374"
"3608-1192-5638-1435","166-55-1216"
"3608-2596-5756-1182","339-46-1012"
"3608-1333-4236-1278","320-31-1012"
