"ccn","ssn"
"3608-1192-4445-1718","166-46-1985"
"3608-2507-4264-1440","301-93-1331"
"3608-1782-4329-1053","381-99-1159"
"3608-1395-4383-1300","138-44-1747"
"3608-2968-5988-1794","408-55-1021"
"3608-2181-5638-1300","216-32-1647"
"3608-1395-5745-1322","238-46-1262"
"3608-2067-5634-1190","144-55-1535"
"3608-2751-5791-1589","116-82-1583"
"3608-2968-4005-1032","166-60-1992"
"3608-2181-5988-1465","381-32-1521"
"3608-2751-5196-1399","216-83-1603"
"3608-2800-4711-1838","144-99-1941"
"3608-1192-4994-1216","425-54-1345"
"3608-2596-4445-1361","238-55-1666"
"3608-2800-4668-1129","238-81-1341"
"3608-1192-4523-1844","381-93-1171"
"3608-1333-4005-1537","301-55-1288"
"3608-1682-5015-1744","301-60-1263"
"3608-2968-4342-1024","391-93-1954"
"3608-1721-5152-1185","238-81-1985"
"3608-2751-4264-1593","177-18-1914"
"3608-2968-4657-1900","224-31-1237"
"3608-1192-5691-1476","287-81-1413"
"3608-2751-4344-1931","177-32-1840"
"3608-2800-5890-1292","429-60-1108"
"3608-2181-5632-1668","138-74-1778"
"3608-2751-4288-1216","138-31-1500"
"3608-1721-5407-1475","238-85-1950"
"3608-2507-5766-1892","144-60-1501"
"3608-2751-5196-1960","320-46-1226"
"3608-2588-5152-1597","138-32-1521"
"3608-1721-4458-1475","429-30-1291"
"3608-2596-4264-1976","144-81-1739"
"3608-2800-5407-1518","138-30-1703"
"3608-1782-4288-1245","429-51-1507"
"3608-2588-4994-1931","408-74-1227"
"3608-2751-5459-1052","408-82-1315"
"3608-2751-5745-1440","144-34-1866"
"3608-2800-5489-1407","138-31-1048"
"3608-2181-5724-1693","238-55-1809"
"3608-1192-4158-1537","425-44-1329"
"3608-1395-5459-1014","339-99-1545"
"3608-1682-4951-1278","391-85-1140"
"3608-1721-5791-1705","425-31-1579"
"3608-2067-5791-1214","320-46-1731"
"3608-1721-5030-1121","429-51-1871"
"3608-2181-5458-1055","339-44-1084"
"3608-1333-5884-1278","238-81-1423"
"3608-1333-4711-1551","408-93-1912"
"3608-2507-5458-1435","301-55-1313"
"3608-1192-5489-1009","224-46-1469"
"3608-1333-5459-1322","339-85-1050"
"3608-1192-4354-1837","408-30-1171"
"3608-1395-4951-1980","279-18-1805"
"3608-1395-4342-1915","144-74-1011"
"3608-2067-5983-1220","301-99-1262"
"3608-1192-4342-1194","391-54-1000"
"3608-1395-4329-1589","339-51-1772"
"3608-2588-5884-1603","216-93-1957"
