"ccn","validthru","key","pin","quota"
"3608-2751-4236-1394","Jul/2022",7943,"109",1200
"3608-2588-5988-1551","Nov/2021",2172,"945",1900
"3608-1192-5884-1614","Jun/2018",5594,"800",2000
"3608-1721-4236-1828","May/2018",3700,"561",1800
"3608-2181-4711-1693","Mar/2024",2739,"733",1400
"3608-2800-5632-1014","Jul/2020",2121,"125",1800
"3608-2596-5489-1056","Aug/2018",2565,"928",1800
"3608-2968-5038-1185","Mar/2021",7439,"964",1000
"3608-1192-5030-1381","Jan/2024",7711,"695",1900
"3608-1395-4318-1038","Oct/2018",2005,"494",1100
"3608-2968-5551-1856","Nov/2019",7896,"846",1600
"3608-1782-5015-1983","Oct/2025",4377,"850",1300
"3608-2588-4160-1361","Sep/2020",3307,"098",1400
"3608-1682-5407-1301","Sep/2019",4133,"171",1700
"3608-2800-4005-1892","Dec/2019",5368,"086",1000
"3608-1333-5632-1322","Jun/2025",2676,"909",1900
"3608-2588-4344-1274","Dec/2021",3396,"312",2000
"3608-1192-4445-1718","Jul/2025",3191,"408",1400
"3608-2067-5756-1613","May/2019",2320,"590",1400
"3608-2181-5634-1968","Jun/2018",2167,"853",1900
"3608-2588-4394-1475","Feb/2021",7892,"095",1800
"3608-1395-5394-1351","Mar/2024",7587,"605",1700
"3608-2800-5756-1474","Jun/2021",7307,"467",1100
"3608-2596-4344-1381","Sep/2021",4558,"603",1400
"3608-1192-5333-1693","Feb/2024",4829,"442",1600
"3608-1192-5634-1980","Mar/2022",6256,"373",1400
"3608-2800-4580-1497","Apr/2019",6248,"535",1400
"3608-1333-5696-1217","Aug/2025",5832,"885",2000
"3608-2067-5489-1960","Nov/2024",7249,"239",1700
"3608-2968-5988-1794","Nov/2021",4995,"446",1900
"3608-2507-4458-1839","Mar/2019",4050,"709",1000
"3608-2596-5766-1306","Feb/2021",3727,"129",1500
"3608-2507-4445-1839","Sep/2022",3663,"250",1300
"3608-1192-5766-1301","May/2024",7930,"297",1700
"3608-1782-4458-1244","Aug/2023",4920,"435",1100
"3608-2968-5030-1190","Oct/2020",6424,"789",1900
"3608-1721-5551-1936","Oct/2021",7295,"142",1300
"3608-2968-5030-1705","May/2021",7401,"623",1100
"3608-2596-4005-1856","Dec/2022",6470,"224",1600
"3608-1782-5696-1377","Jun/2023",5286,"262",1800
"3608-2588-4523-1673","Jul/2025",7258,"459",1500
"3608-1395-5638-1053","Jan/2022",6117,"366",2000
"3608-1682-5132-1558","Dec/2023",7145,"676",1800
"3608-2181-5890-1837","Apr/2019",2992,"351",1700
