"ccn","validthru","key","pin","quota"
"3608-1782-5015-1001","Jun/2025",4241,"048",1200
"3608-1782-5030-1572","Jul/2024",6887,"951",1700
"3608-1682-5634-1194","Nov/2020",4650,"253",2000
"3608-2751-5015-1064","Sep/2023",5336,"369",1000
"3608-1721-5983-1220","Dec/2021",2929,"649",1900
"3608-1333-5638-1383","Apr/2022",6984,"782",1200
"3608-2067-5551-1916","Jan/2019",6138,"142",1900
"3608-2751-5489-1220","Jun/2021",3216,"453",1800
"3608-2596-5551-1597","Sep/2021",3136,"654",1100
"3608-2067-5470-1278","Sep/2021",7401,"450",1000
"3608-1395-5791-1660","May/2025",6321,"235",1100
"3608-1682-5638-1673","Dec/2022",3290,"767",1000
"3608-1395-5394-1960","Jul/2025",5046,"108",1700
"3608-1721-4994-1583","Aug/2024",3358,"312",1800
"3608-2800-5551-1032","Apr/2021",2195,"106",1800
"3608-2596-5394-1631","Jun/2024",3461,"363",1500
"3608-2968-5988-1245","Nov/2022",3047,"543",1600
"3608-2751-5333-1129","Jul/2020",5822,"870",1400
"3608-1333-4038-1163","Aug/2018",3752,"333",1700
"3608-1333-4523-1399","Jul/2022",3610,"339",1200
"3608-1782-4329-1053","Mar/2019",5123,"255",1100
"3608-2507-5766-1428","May/2024",7375,"661",1400
"3608-2507-5196-1394","Jan/2025",7963,"622",1700
"3608-2067-5691-1163","Oct/2021",4133,"596",1900
"3608-1782-4160-1265","Aug/2025",3023,"741",1600
"3608-1782-5038-1217","Oct/2024",4380,"259",1100
"3608-1333-5791-1983","Dec/2024",4124,"934",1900
"3608-1395-4236-1583","Sep/2023",7895,"277",1200
"3608-2968-5632-1274","Jul/2021",7854,"082",1000
"3608-1782-5394-1660","Sep/2020",5658,"212",1700
"3608-2507-5756-1931","Nov/2020",4198,"624",1500
"3608-2067-5470-1968","Aug/2025",6120,"445",2000
"3608-1682-5638-1761","Sep/2024",3568,"508",1300
"3608-1682-5632-1583","Aug/2020",5827,"967",2000
