"ccn","validthru","key","pin","quota"
"3608-1333-4394-1935","Mar/2020",4814,"231",2000
"3608-1333-4005-1623","Nov/2022",2117,"373",1400
"3608-1682-5152-1053","Apr/2024",7022,"246",1100
"3608-1782-5791-1558","Sep/2023",7502,"188",2000
"3608-2596-5394-1054","Jun/2022",6787,"233",1000
"3608-2596-5696-1134","May/2024",7442,"587",1900
"3608-2751-4711-1593","Jul/2020",7878,"833",1300
"3608-2181-5756-1613","Jan/2021",7792,"095",2000
"3608-2751-5724-1980","Sep/2025",4378,"084",2000
"3608-2181-4005-1024","May/2019",6785,"031",1600
"3608-2800-5551-1292","Mar/2018",5858,"410",1900
"3608-2800-4318-1537","Feb/2019",7933,"727",1600
"3608-1333-5691-1476","Jul/2020",7057,"975",1400
"3608-2181-4383-1214","Feb/2024",3517,"985",1000
"3608-2588-4318-1596","Jul/2019",4106,"189",1900
"3608-1192-4580-1892","Sep/2022",3751,"453",1000
"3608-1782-5724-1274","Mar/2024",3799,"207",2000
"3608-2588-5459-1856","Feb/2024",4525,"954",2000
"3608-1721-4657-1037","Dec/2022",3558,"639",1400
"3608-2067-4711-1435","Mar/2025",2522,"814",1000
"3608-1192-4288-1037","Nov/2023",7051,"105",1100
"3608-2596-5724-1244","May/2022",7550,"020",1500
"3608-2507-5766-1134","Aug/2019",2261,"612",1600
"3608-2968-4158-1306","Oct/2020",4133,"478",1200
"3608-2596-4580-1064","Feb/2023",6594,"737",2000
"3608-2751-4458-1189","Apr/2023",4014,"614",2000
"3608-2596-4458-1109","May/2019",7616,"028",1600
"3608-2588-5791-1682","Dec/2021",4592,"981",1500
"3608-2067-4158-1216","Jul/2020",2080,"312",1400
"3608-1782-5632-1394","Mar/2018",3100,"340",2000
"3608-2588-5551-1394","Sep/2024",7206,"078",1000
"3608-1682-4236-1794","May/2019",5193,"745",2000
"3608-2751-4951-1181","Dec/2018",6290,"016",1000
"3608-1192-5890-1322","Jan/2020",2453,"469",1200
"3608-1395-4344-1377","Oct/2020",3706,"113",1000
"3608-1333-4994-1936","Sep/2018",7841,"666",1600
"3608-1782-5890-1673","Oct/2018",6306,"658",1800
"3608-2588-5890-1014","Sep/2023",1969,"275",1500
"3608-1192-4523-1589","Jun/2023",7907,"685",1500
"3608-2968-4236-1682","Feb/2025",3816,"257",1700
"3608-2588-4394-1265","Jan/2025",6739,"281",1200
"3608-1721-5696-1589","Apr/2019",3611,"298",1500
"3608-1721-4264-1693","Apr/2024",4756,"028",1900
"3608-2968-5015-1245","May/2021",7865,"017",1300
"3608-1192-5489-1355","Jul/2025",3060,"406",1000
"3608-2181-5745-1682","Jan/2024",7932,"020",1000
"3608-2181-5634-1718","Oct/2023",6400,"162",1600
"3608-1333-4288-1128","Jan/2023",3172,"963",1000
"3608-2588-4951-1300","Dec/2025",3493,"346",1100
"3608-2800-5394-1935","Oct/2023",7410,"059",1000
"3608-1192-4329-1440","Aug/2021",7426,"330",2000
"3608-1721-5691-1300","Mar/2025",2342,"754",1100
"3608-2181-5470-1038","Nov/2022",7995,"933",1300
"3608-2751-5983-1617","Dec/2020",6870,"685",1300
"3608-2968-5766-1960","Jul/2020",5886,"070",1400
"3608-1192-4344-1682","Feb/2024",6298,"055",1700
"3608-2067-4856-1828","Jul/2021",5267,"858",1400
"3608-2800-5132-1130","Oct/2018",6245,"715",1100
"3608-2181-4523-1157","Jun/2023",2559,"352",2000
"3608-1192-4951-1383","Mar/2024",5461,"701",1100
"3608-2181-5696-1646","Mar/2022",3427,"811",1400
"3608-1682-5696-1292","Nov/2021",6534,"991",2000
"3608-1333-5407-1292","Jul/2023",5103,"784",1300
