"ccn","validthru","key","pin","quota"
"3608-1782-5551-1837","Nov/2024",5357,"255",2000
"3608-1721-5696-1744","Apr/2022",6896,"219",1700
"3608-1192-5724-1435","Jun/2020",5497,"932",1200
"3608-1333-4856-1686","Oct/2024",4195,"199",2000
"3608-2800-4158-1361","May/2021",4915,"360",1500
"3608-2181-5333-1761","Jan/2019",2512,"699",1600
"3608-1782-5196-1968","Mar/2023",4233,"146",1100
"3608-1333-5196-1935","Sep/2023",3918,"745",1000
"3608-1721-5750-1931","Sep/2020",6536,"013",1500
"3608-1682-5152-1322","Apr/2025",4552,"136",1300
"3608-2800-5015-1140","Oct/2020",7156,"952",1200
"3608-1682-4342-1718","Sep/2024",5192,"487",1300
"3608-1192-5766-1856","Nov/2018",6716,"118",1400
"3608-2800-5015-1157","Jun/2024",4784,"245",1800
"3608-2968-5632-1129","Nov/2020",5277,"693",1300
"3608-1395-5632-1214","Oct/2025",7690,"502",1100
"3608-2588-5132-1476","Jun/2018",3361,"646",1600
"3608-1782-5458-1551","Jun/2018",3802,"132",1700
"3608-2751-4657-1637","Jun/2024",4759,"097",1300
"3608-1721-4160-1682","Aug/2023",4575,"388",1600
"3608-1721-5132-1682","Jun/2020",4037,"510",1700
"3608-1192-4318-1856","Jan/2021",3860,"441",1200
"3608-2181-5407-1344","Jul/2023",3963,"740",1500
"3608-2968-4523-1968","Jun/2025",4186,"945",2000
"3608-2751-5458-1128","Mar/2019",3696,"478",2000
"3608-1395-5407-1916","Jun/2020",5731,"923",1200
"3608-1782-4951-1306","Sep/2022",6011,"719",1300
"3608-2596-5333-1198","May/2024",3592,"305",2000
"3608-1782-5407-1194","Apr/2021",4697,"539",1300
"3608-2968-4038-1245","Oct/2025",4810,"103",1100
"3608-1782-5724-1828","Jun/2020",6291,"002",2000
"3608-1782-5333-1163","Nov/2019",6214,"563",1400
"3608-2751-4668-1185","Nov/2019",3279,"346",1100
"3608-2968-4288-1134","Mar/2025",3471,"969",1000
"3608-2800-5724-1055","Feb/2022",6329,"312",1300
"3608-2181-4342-1399","Nov/2025",6389,"350",1800
"3608-2968-5988-1274","May/2024",6177,"630",2000
"3608-1395-4288-1960","May/2022",2308,"204",1300
"3608-2181-4236-1351","Nov/2020",2980,"854",2000
"3608-2596-5696-1157","Aug/2021",5787,"054",1700
"3608-2800-4951-1838","Feb/2019",4302,"790",1300
"3608-1333-5766-1931","Feb/2019",6712,"507",1200
"3608-1682-5756-1900","Aug/2023",2289,"918",1200
"3608-1333-5766-1660","Aug/2025",6473,"309",1700
"3608-2751-4951-1094","Aug/2020",7937,"276",1500
"3608-1192-5132-1361","Dec/2020",6275,"686",1800
"3608-2800-5890-1182","Apr/2020",7530,"356",1600
"3608-2968-5132-1828","Jun/2018",5436,"786",1800
"3608-2800-4344-1693","Sep/2019",4679,"872",1300
"3608-2507-5634-1163","Aug/2018",6177,"677",1700
"3608-2507-5750-1631","Jan/2023",3356,"105",1600
"3608-1782-4288-1220","Mar/2022",8037,"742",1800
"3608-2800-4354-1705","Apr/2018",5191,"024",1900
"3608-1333-5152-1001","Sep/2025",4365,"713",2000
"3608-1395-4329-1892","Mar/2018",5269,"181",1700
"3608-2181-5333-1109","Jul/2023",4537,"515",2000
"3608-2181-4236-1056","May/2019",4371,"650",2000
"3608-1682-5691-1190","May/2018",4374,"191",1700
"3608-2800-5015-1189","Apr/2025",3460,"248",1300
"3608-2968-4160-1140","Nov/2021",2597,"922",2000
"3608-2067-4657-1163","Aug/2020",6222,"555",1300
"3608-2507-5750-1682","Feb/2025",2144,"003",1700
"3608-1721-4523-1188","Dec/2022",5785,"000",1900
